source1,target
1,Débutant
2,Débutant
3,Débutant
3a,Débutant
3a+,Débutant
3b,Débutant
3b+,Débutant
3c,Débutant
3c+,Débutant
4,Débutant
4+,Débutant
4a,Débutant
4a+,Débutant
4b,Débutant
4b+,Débutant
4c,Débutant
4c+,Débutant
5a,Débutant
5a+,Débutant
5b,Débutant
5b+,Débutant
5c,Débutant
5c+,Débutant
6a,Intermédiaire
6a+,Intermédiaire
6b,Intermédiaire
6b+,Intermédiaire
6c,Intermédiaire
6c+,Intermédiaire
7a,Intermédiaire
7a+,Intermédiaire
7b,Intermédiaire
7b+,Professionnel
7c,Professionnel
7c+,Professionnel
8a,Professionnel
8a+,Professionnel
8b,Professionnel
8b+,Professionnel
8c,Professionnel
8c+,Professionnel
9a,Professionnel
9a+,Professionnel
9b,Professionnel
9b+,Professionnel
9c,Professionnel
